id;name;short_name;address;telephone;email;url;city_id;district_id
2201078;"78 Средно училище ""Христо Смирненски""";"78 СУ";;;;;1000;100024
2201400;"Професионална гимназия по туризъм ""Алеко Константинов""";"ПГТ Алеко Константинов";;;;;1000;100024
2202002;"2 Средно училище ""Академик Емилиян Станев""";"2 СУ";;;;;1000;100017
2202026;"26 Средно училище ""Йордан Йовков""";"26 СУ";;;;;1000;100017
2202401;"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""";"ПГЕБ Златаров";;;;;1000;100017
2203074;"74 Средно училище ""Гоце Делчев""";"74 СУ";;;;;1000;100020
2203140;"140 Средно училище ""Иван Богоров""";"140 СУ";;;;;1000;100020
2204018;"18 Средно училище ""Уилям Гладстон""";"18 СУ";;;;;1000;10003
2204030;"30 Средно училище ""Братя Миладинови""";"30 СУ";;;;;1000;10003
2204032;"32 Средно училище ""Свети Климент Охридски"" с изучаване на чужди езици";"32 СУ";;;;;1000;10003
2204091;"91 Немска езикова гимназия ""Професор Константин Гълъбов""";"91 НЕГ";;;;;1000;10003
2204134;"134 Средно училище ""Димчо Дебелянов""";"134 СУ";;;;;1000;10003
2204311;"Профилирана гимназия с интензивно изучаване на румънски език ""Михай Еминеску""";"ПГРЕ Еминеску";;;;;1000;10005
2204402;"Национална професионална гимназия по прецизна техника и оптика ""М. В. Ломоносов""";"НПГПТО";;;;;1000;10003
2204403;"Професионална гимназия по текстилни и кожени изделия";"ПГТКИ";;;;;1000;10003
2204405;"Професионална гимназия по подемна, строителна и транспортна техника";"ПГПСТТ";;;;;1000;10003
2205105;"105 Средно училище ""Атанас Далчев""";"105 СУ";;;;;1000;10008
2205119;"119 СУ ""Академик М. Арнаудов""";"119 СУ";"ул. Латинка 11";"02/872 00 08";"info@119su.bg";"https://119su.bg/";1000;10008
2205407;"Софийска професионална гимназия по електроника ""Джон Атанасов""";"СПГЕ ""Джон Атанасов""";"ул. Райко Алексиев 48";"02/872 07 81";"SPGElectron@yahoo.co.uk";"https://spge-bg.com";1000;10008
2205408;"Софийска професионална гимназия ""Княгиня Евдокия""";"СПГ Княгиня Евдокия";;;;;1000;10008
2206003;"3 Средно училище ""Марин Дринов""";"3 СУ";;;;;1000;100012
2206113;"113 Средно училище ""Сава Филаретов""";"113 СУ";;;;;1000;100012
2206302;"Втора английска езикова гимназия ""Томас Джеферсън""";"2 АЕГ";;;;;1000;100010
2206409;"Професионална гимназия по транспорт и енергетика ""Хенри Форд""";"ПГТЕ Хенри Форд";;;;;1000;100012
2206410;"Професионална гимназия по аудио, видео и телекомуникации ""А. С. Попов""";"ПГАВТ ""А. С. Попов""";"бул. Сливница 10";"02/822 11 86";"pgavt_popov@abv.bg";"https://aspopov-bg.org/";1000;100012
2206411;"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""";"ПГХВТ Павлов";;;;;1000;100012
2207068;"68 Средно училище ""Академик Никола Обрешков""";"68 СУ";;;;;1000;100014
